type,commenter,comment,source_index,date_time,ip
推,yamiyami,有拿到首次app的100,0,02/02 01:29,
推,skye11,之前有領過了 還是推個～抽獎就碰碰運氣,0,02/02 13:40,
推,autumn0121,有領過+1,0,02/02 14:22,
推,bigsara,原本看這活動好像到去年底而已，後來又延長到3月,0,02/02 17:42,
推,pippen2002,首次登入app?? 誰還0登入過?,0,02/02 20:51,
推,abccbaandy,看這篇才想到，之前綁openpoint的免手續費都沒給...,1,02/02 16:03,
推,i23421713,謝謝分享～,1,02/02 16:46,
→,kevenshih,上一批的今天入帳,1,02/02 17:35,
推,lf850202,看來新戶最多177點 舊戶最多97點,1,02/02 17:58,
推,jason83713,請問app內要怎麼連結icashpay？,1,02/02 20:34,
→,pippen2002,+1  +1,1,02/02 20:52,
推,iamhsg,請問首連滿額禮線上儲星巴克算嗎？,1,02/02 21:26,
推,iamhsg,欸！首連滿額活動2023/11/24就開始，該不會早滿了吧？@@,1,02/02 21:34,
→,iamhsg,”,1,02/02 21:34,
→,iamhsg,畢竟才1700名,1,02/02 21:34,
推,h67568611,活動連結內有教學,1,02/02 22:01,
推,aaa856262,要從中信連結去icashpay註冊 才有50點,1,02/02 22:45,
推,pippen2002,那算了！給大家機會吧,1,02/03 00:18,
推,BabyWolf,首連活動二icash加值送77的12月刷已入帳+1 代售郵票沒排,1,02/03 01:53,
→,BabyWolf,除 #1bQNZHYj (MobilePay) 不過據說代收刷不過,1,02/03 01:54,
→,abccbaandy,反觀英國(？,2,02/02 20:34,
推,brokeback,忙著綁支付送洗碗精？,2,02/02 22:10,
→,flypenguin,沒事沒事，郵局交通部管的，金管會罰不到錢。,2,02/02 22:20,
噓,bonba,那麼爛還有人用,2,02/03 00:36,
推,aljust12,大額只能臨櫃 線上約定要臨櫃申請 但額度等同非約定,3,02/02 21:14,
→,aljust12,不超過20萬用非約定就好 超過不管如何你還是要臨櫃,3,02/02 21:15,
→,alex1973,自己看吧: https://bit.ly/3SrxJT8,3,02/02 21:16,
→,alex1973,"看限制這麼多, 但是不曉得你需求怎樣, 撞到哪個限制就跑",3,02/02 21:17,
→,alex1973,一次銀行全部解決,3,02/02 21:18,
→,eubrgbf,您好 不好意思 我只是想綁自己的台幣帳號 作為把外幣換回,3,02/02 21:21,
→,eubrgbf,台幣使用 應該可以線上約定自己的帳號嗎,3,02/02 21:21,
→,eubrgbf,因為現在我網銀沒辦法美金換回台幣 它叫我要設定台幣轉入,3,02/02 21:23,
→,eubrgbf,帳號 我能不能線上讀卡機設定自己的帳戶哇 一天10萬其實,3,02/02 21:23,
→,eubrgbf,很夠用了,3,02/02 21:23,
→,ken840419,設定自己的帳號也要去臨櫃唷,3,02/02 21:23,
→,alex1973,"Google ""華南 bank 3.0""",3,02/02 21:24,
→,alex1973,"行不行你試看看, 我自己試用過其他家 bank 3.0, 但是華",3,02/02 21:25,
→,alex1973,南沒用過,3,02/02 21:25,
→,eubrgbf,我看他文章好像寫可以設定自己的本行帳號 作為台幣轉入帳,3,02/02 21:27,
→,eubrgbf,號嗎,3,02/02 21:27,
→,eubrgbf,https://i.imgur.com/AuHGRz3.jpg,3,02/02 21:29,
→,alex1973,"我也是看覺得可能可以, 但是你這又牽涉台外幣之間, 所以",3,02/02 21:32,
→,alex1973,"我才說你自己試看看, 有沒有好消息都歡迎分享給其他人知",3,02/02 21:33,
→,alex1973,道,3,02/02 21:33,
→,aljust12,文章要全部看完 就問 你有申請過線上約定嗎? 沒有就臨櫃,3,02/02 21:38,
→,aljust12,單日沒摻過10萬 常用帳號=非約定=線上約定而度就很好用,3,02/02 21:41,
推,temu2015,華南最天才的是連設定常用帳號都要插金融卡……,3,02/02 21:43,
→,theholyice,要臨櫃開通，而且要一起申請提高約定帳戶轉帳上限，,3,02/03 00:02,
→,theholyice,不然一次最多只能5萬…就算本人也一樣，這點超擾民害,3,02/03 00:02,
→,theholyice,我跑兩趟,3,02/03 00:02,
推,lynnlelia071,大戶趁禮拜三換匯額度比較划算，剛好之後要出國多,4,02/02 22:24,
→,lynnlelia071,換一些起來，感謝樓主分享抽獎活動,4,02/02 22:24,
推,kkkk1234,提醒一下 任務一要單筆5千 任務二可以累積5萬,4,02/02 22:40,
推,ROCAF,看先推,5,05/04 02:04,
推,fr373969,推,5,05/04 02:32,
推,wilson9221,,5,05/04 03:21,
推,BBMak,,5,05/04 06:41,
推,tiempo,助很大XD 昨天才因為地緣開渣打跟華南的外幣帳戶,5,05/04 08:29,
推,tiempo,個小問題，渣打的網銀買賣匯優惠兩分，實際容忍匯差應該,5,05/04 08:33,
推,tnf,Z大~~你好棒!!!讓銀行服務版的版友們受益良多~給你個讚!!!,5,05/04 08:34,
→,tiempo,0.06吧（有想錯嗎？） 不過也是到六月底的活動就是了,5,05/04 08:35,
→,tiempo,章裡面是標示0.08,5,05/04 08:36,
→,TZUYIC,始匯差0.12，買賣分別優惠2分，實際匯差就變成0.08囉。,5,05/04 08:36,
→,TZUYIC,有特別解釋計算方式，在第三部分的一開頭。:),5,05/04 08:37,
推,tiempo,謝，看到文章中間就忘了他的原始匯差較大，可見文章真的,5,05/04 08:39,
→,tiempo,長，是個浩大工程,5,05/04 08:40,
推,tiempo,篇優文真的應該多推幾次,5,05/04 08:42,
推,akakapo,強大的文章，感謝T大整理分享！,5,05/04 11:07,
推,gh20502,定要推的!,5,05/04 11:40,
推,bigpolaris,！,5,05/04 11:46,
推,Anadyomene,篇應該要推爆,5,05/04 13:45,
推,tnf,爆這篇~~先說好~~第一百推是我的喔!!!(握拳),5,05/04 13:49,
推,kuio0115,大文一定要推的!!篇篇用心寫~用心推~超強線上客服!!,5,05/04 16:22,
推,tnf,錯~~PTT理財超強線上客服!!,5,05/04 16:26,
推,Quezacot,推推，超棒的分享~,5,05/04 17:19,
推,cuteEvanYo,推先推！,5,05/04 17:32,
推,tnf,謝TZ大~~您的用心，讓銀行服務版的版友們受惠良多~,5,05/04 17:59,
推,tnf,您敬禮表示敬意~(敬禮),5,05/04 18:00,
推,gfedcba0207,厲害~~~,5,05/04 18:58,
推,mybbsid,推，不然別人以為我們看不懂 囧,5,05/04 20:08,
→,TZUYIC,人說好麻煩的外匯，可不可以寫重點，我想如果你要看重點,5,05/04 20:53,
→,TZUYIC,沒那麼厲害可以用二三句話解釋清楚，麻煩另請高明吧。,5,05/04 20:53,
推,Anadyomene,推,5,05/04 21:30,
推,invin0730,服你的耐心!,5,05/04 21:57,
推,tnf,覺得麻煩的人，可不可以告訴我外匯的重點是????,5,05/04 22:07,
推,Anadyomene,推,5,05/04 22:07,
推,tenghui,篇真是菁華中的菁華,5,05/04 22:45,
推,ZCH,以請問一下為什麼沒有國泰嗎ˊˋ,5,05/04 22:59,
→,TZUYIC,他銀行要等到以後才會慢慢更新囉，因為工程太大了。,5,05/04 23:09,
推,momosean,個一定要推一下，但想請問台銀vip通過有要求最低餘額嗎,5,05/04 23:19,
→,TZUYIC,存款150萬可請理專報專案申請加入，有存款300萬可以直接,5,05/04 23:26,
→,TZUYIC,入，免報專案特別放行。,5,05/04 23:26,
推,yumeiko,大這篇文章的格式好正式. 內容又好豐富  推,5,05/04 23:31,
推,WaterDragonI,推，不然別人以為我們看不懂 囧,5,05/05 08:17,
推,tnf,不懂的地方可以舉手發問啦~相信TZ大會很熱心為大家解答的:),5,05/05 08:34,
推,ThemeIsMyDog,大無敵!,5,05/05 09:06,
推,ThemeIsMyDog,驚人了!!!!!!!!!!!!!!!!!!!  無敵T大!,5,05/05 10:16,
推,guccilulu,厲害了~~,5,05/05 13:21,
推,Anadyomene,推直到爆,5,05/05 13:59,
推,kinddevil,厲害了!!有網頁版嗎??我想存起來~,5,05/05 14:17,
→,kinddevil,好意思~~看到文章開頭說了沒有網頁版~~,5,05/05 14:18,
→,TZUYIC,有網頁版喔，想要儲存文章可以對本文按 Shift＋F 組合鍵,5,05/05 14:27,
→,TZUYIC,可全文寄送到自己的電子郵件信箱囉。,5,05/05 14:27,
→,TZUYIC,"為一開始寫文章就是在PTT下寫，所以沒有網頁版。 ^^""",5,05/05 14:28,
→,TZUYIC,果看不到滙豐銀行這個三點水在外面的滙字，可以改用最新,5,05/05 14:34,
→,TZUYIC,支援統一碼的PCMan來瀏覽，就看得到啦～,5,05/05 14:34,
推,browncat,厲害的 很想按個讚,5,05/05 16:01,
推,Forestier,hift+Q有文章網址 這應該勉強算是網路版吧,5,05/05 18:02,
→,TZUYIC,大不錯耶，我用Shift-Q這麼久，從來都沒有注意還有網頁版,5,05/05 18:03,
→,TZUYIC,PTT網址，看了網頁版，排版都沒有亂掉，Nice！,5,05/05 18:04,
→,TZUYIC,有幾個字和括號顯示不出來而已～,5,05/05 18:06,
→,ROCAF,eb版的PTT除了一部分字型跟色彩控制碼出不來以外其他還堪用,5,05/05 21:47,
推,TAMACAT,厲害了...,5,05/05 23:11,
推,tnf,WEB版PTT我就覺得已經很強大了...不敢奢求太多...:PPP,5,05/05 23:11,
推,waneslacakus,苦了 其實花旗並沒有南非幣交易 只是寫好看的而已,5,05/06 18:10,
推,YoBo,,5,05/07 01:39,
推,Anadyomene,,5,05/07 11:23,
推,Anadyomene,,5,05/07 15:48,
推,crazyghost,鎊50以上的時候 台銀仍然最划算~ (久不見矣!),5,05/07 16:55,
推,tnf,也想看到英鎊重回50+的榮耀!!XDDDDD,5,05/07 22:46,
→,crazyghost,正一下...上面應該是英鎊55+的時候台銀才最划算,5,05/07 23:23,
推,pleasant,推，但懷疑T大待業中，原因是PO文時間及如此閒情逸緻,5,05/08 12:34,
